"fixloc" "fixdur" "fixnr" "id"
2 521 2 "11_15"
1 401 3 "11_15"
2 353 4 "11_15"
1 321 1 "11_16"
2 615 2 "11_16"
1 699 3 "11_16"
1 499 1 "11_17"
2 398 2 "11_17"
1 714 1 "11_18"
2 202 2 "11_18"
1 943 1 "11_19"
2 1508 2 "11_19"
1 366 1 "11_20"
2 856 2 "11_20"
1 479 3 "11_20"
1 420 1 "11_21"
2 377 2 "11_21"
1 396 1 "11_22"
2 746 2 "11_22"
1 39 3 "11_22"
1 285 1 "11_23"
2 752 2 "11_23"
1 239 3 "11_23"
1 302 1 "11_24"
2 654 2 "11_24"
1 260 1 "11_25"
2 398 2 "11_25"
1 139 3 "11_25"
1 474 1 "11_26"
2 702 2 "11_26"
1 20 3 "11_26"
1 302 1 "11_27"
2 514 2 "11_27"
1 877 3 "11_27"
1 559 1 "11_28"
2 778 2 "11_28"
1 304 1 "11_29"
2 608 2 "11_29"
1 2210 3 "11_29"
2 1016 4 "11_29"
1 263 5 "11_29"
2 196 6 "11_29"
1 397 1 "11_30"
2 1100 2 "11_30"
1 438 3 "11_30"
1 235 1 "11_31"
2 760 2 "11_31"
1 259 3 "11_31"
2 239 1 "11_32"
1 699 2 "11_32"
2 617 3 "11_32"
1 697 4 "11_32"
2 122 5 "11_32"
2 259 1 "11_33"
1 459 2 "11_33"
2 998 1 "11_34"
1 462 2 "11_34"
2 893 3 "11_34"
1 241 1 "11_35"
2 795 2 "11_35"
1 640 3 "11_35"
2 1653 4 "11_35"
1 658 5 "11_35"
1 600 1 "11_36"
2 558 2 "11_36"
1 496 1 "11_37"
2 718 2 "11_37"
2 286 1 "11_38"
1 598 2 "11_38"
2 606 3 "11_38"
1 2629 4 "11_38"
1 359 1 "11_39"
2 359 2 "11_39"
1 362 3 "11_39"
2 80 4 "11_39"
2 338 1 "11_40"
1 77 2 "11_40"
2 22 3 "11_40"
1 379 4 "11_40"
2 717 5 "11_40"
1 421 6 "11_40"
2 221 1 "11_41"
1 751 2 "11_41"
1 301 1 "11_42"
2 1036 2 "11_42"
1 719 1 "11_43"
1 717 1 "11_44"
2 120 2 "11_44"
2 700 1 "11_45"
1 283 2 "11_45"
2 538 3 "11_45"
1 757 1 "11_46"
2 359 2 "11_46"
1 237 1 "11_47"
2 1076 2 "11_47"
1 321 3 "11_47"
2 80 4 "11_47"
1 400 1 "11_48"
2 399 2 "11_48"
1 237 1 "11_49"
2 838 2 "11_49"
1 40 3 "11_49"
1 458 1 "11_50"
2 402 2 "11_50"
1 298 1 "11_51"
2 443 2 "11_51"
