Subject Set.size Drift.Rate Theta SD Non.decision.time Nr.Reps Log.Likelihood Coarse Extension
-1 0 0.004 1 0.08 0 5000 -125.316960056374 1 0
-1 0 0.004 0.2 0.1 0 5000 -146.103474379433 1 0
-1 0 0.004 0.4 0.1 0 5000 -145.312244522288 1 0
-1 0 0.004 0.6 0.1 0 5000 -144.609250573332 1 0
-1 0 0.004 0.8 0.1 0 5000 -144.093630147816 1 0
-1 0 0.004 1 0.1 0 5000 -144.089285101567 1 0
-1 0 0.006 0.2 0.02 0 5000 -223.950506134131 1 0
-1 0 0.006 0.4 0.02 0 5000 -215.314487941488 1 0
-1 0 0.006 0.6 0.02 0 5000 -209.640138826288 1 0
-1 0 0.006 0.8 0.02 0 5000 -212.169964572133 1 0
-1 0 0.006 1 0.02 0 5000 -214.573463371522 1 0
-1 0 0.006 0.2 0.04 0 5000 -133.235205737961 1 0
-1 0 0.006 0.4 0.04 0 5000 -130.732301736782 1 0
-1 0 0.006 0.6 0.04 0 5000 -130.543323777673 1 0
-1 0 0.006 0.8 0.04 0 5000 -133.179320945608 1 0
-1 0 0.006 1 0.04 0 5000 -136.898176509843 1 0
-1 0 0.006 0.2 0.06 0 5000 -119.019578157495 1 0
-1 0 0.006 0.4 0.06 0 5000 -117.210453172121 1 0
-1 0 0.006 0.6 0.06 0 5000 -116.898735510678 1 0
-1 0 0.006 0.8 0.06 0 5000 -117.816143615754 1 0
-1 0 0.006 1 0.06 0 5000 -119.867052889043 1 0
-1 0 0.006 0.2 0.08 0 5000 -126.69331719321 1 0
-1 0 0.006 0.4 0.08 0 5000 -125.571274304164 1 0
-1 0 0.006 0.6 0.08 0 5000 -125.090165522026 1 0
-1 0 0.006 0.8 0.08 0 5000 -125.615789658201 1 0
-1 0 0.006 1 0.08 0 5000 -126.903531283082 1 0
-1 0 0.006 0.2 0.1 0 5000 -145.310266347177 1 0
-1 0 0.006 0.4 0.1 0 5000 -144.384125522719 1 0
-1 0 0.006 0.6 0.1 0 5000 -143.787735149967 1 0
-1 0 0.006 0.8 0.1 0 5000 -144.339431676712 1 0
-1 0 0.006 1 0.1 0 5000 -145.186975185764 1 0
-1 0 0.008 0.2 0.02 0 5000 -219.03039845763 1 0
-1 0 0.008 0.4 0.02 0 5000 -212.738860918191 1 0
-1 0 0.008 0.6 0.02 0 5000 -212.295437874126 1 0
-1 0 0.008 0.8 0.02 0 5000 -217.978730132614 1 0
-1 0 0.008 1 0.02 0 5000 -222.285388183055 1 0
-1 0 0.008 0.2 0.04 0 5000 -132.12267359336 1 0
-1 0 0.008 0.4 0.04 0 5000 -131.525671754369 1 0
-1 0 0.008 0.6 0.04 0 5000 -135.219099432653 1 0
-1 0 0.008 0.8 0.04 0 5000 -140.543878053679 1 0
-1 0 0.008 1 0.04 0 5000 -147.74228742709 1 0
-1 0 0.008 0.2 0.06 0 5000 -118.302596209748 1 0
-1 0 0.008 0.4 0.06 0 5000 -117.604168519515 1 0
-1 0 0.008 0.6 0.06 0 5000 -118.749299111941 1 0
-1 0 0.008 0.8 0.06 0 5000 -121.76823402793 1 0
-1 0 0.008 1 0.06 0 5000 -126.09691875531 1 0
-1 0 0.008 0.2 0.08 0 5000 -126.917729900477 1 0
-1 0 0.008 0.4 0.08 0 5000 -125.908445605273 1 0
-1 0 0.008 0.6 0.08 0 5000 -126.428565887367 1 0
-1 0 0.008 0.8 0.08 0 5000 -128.115203660378 1 0
-1 0 0.008 1 0.08 0 5000 -130.643420034007 1 0
-1 0 0.008 0.2 0.1 0 5000 -145.286807374791 1 0
-1 0 0.008 0.4 0.1 0 5000 -144.366445045027 1 0
-1 0 0.008 0.6 0.1 0 5000 -144.356978580097 1 0
-1 0 0.008 0.8 0.1 0 5000 -145.661937124891 1 0
-1 0 0.008 1 0.1 0 5000 -147.88872386417 1 0
-1 0 0.01 0.2 0.02 0 5000 -216.83520163325 1 0
-1 0 0.01 0.4 0.02 0 5000 -213.86841371927 1 0
-1 0 0.01 0.6 0.02 0 5000 -217.618912064332 1 0
-1 0 0.01 0.8 0.02 0 5000 -225.012101674703 1 0
-1 0 0.01 1 0.02 0 5000 -234.525253808872 1 0
-1 0 0.01 0.2 0.04 0 5000 -134.042785552708 1 0
-1 0 0.01 0.4 0.04 0 5000 -135.99099563502 1 0
-1 0 0.01 0.6 0.04 0 5000 -142.574121500181 1 0
-1 0 0.01 0.8 0.04 0 5000 -149.880183320376 1 0
-1 0 0.01 1 0.04 0 5000 -158.635124093771 1 0
-1 0 0.01 0.2 0.06 0 5000 -119.302200288736 1 0
-1 0 0.01 0.4 0.06 0 5000 -119.735181321702 1 0
-1 0 0.01 0.6 0.06 0 5000 -122.774954891469 1 0
-1 0 0.01 0.8 0.06 0 5000 -127.968875556069 1 0
-1 0 0.01 1 0.06 0 5000 -134.112044350452 1 0
-1 0 0.01 0.2 0.08 0 5000 -127.937027385786 1 0
-1 0 0.01 0.4 0.08 0 5000 -127.095128455518 1 0
-1 0 0.01 0.6 0.08 0 5000 -128.710809021419 1 0
-1 0 0.01 0.8 0.08 0 5000 -131.607990538191 1 0
-1 0 0.01 1 0.08 0 5000 -136.724481956957 1 0
-1 0 0.01 0.2 0.1 0 5000 -146.250983157982 1 0
-1 0 0.01 0.4 0.1 0 5000 -145.258165765086 1 0
-1 0 0.01 0.6 0.1 0 5000 -146.267758020087 1 0
-1 0 0.01 0.8 0.1 0 5000 -148.916037103811 1 0
-1 0 0.01 1 0.1 0 5000 -151.872413386698 1 0
