"id" "v1" "v2" "decision" "rt"
"16_84" 7 6 2 877
"16_85" 10 5 2 518
"16_86" 5 0 2 1376
"16_87" 8 5 2 413
"16_88" 7 9 1 915
"16_89" 7 6 2 957
"16_90" 9 10 1 757
"16_91" 5 10 1 1097
"16_92" 6 6 1 822
"16_93" 7 8 2 3130
"16_94" 9 9 1 1135
"16_95" 10 5 2 617
"16_96" 6 6 1 677
"16_97" 7 5 2 717
"16_98" 9 5 2 478
"16_99" 5 3 2 1097
"16_100" 4 5 2 1715
"17_1" 0 0 2 978
"17_2" 0 1 2 1355
"17_3" 2 0 1 1117
"17_4" 0 0 2 677
"17_5" 1 0 2 876
"17_6" 2 4 1 896
"17_7" 0 0 1 678
"17_8" 1 4 2 557
"17_9" 0 4 2 1139
"17_10" 5 5 2 736
"17_11" 2 4 2 1019
"17_12" 2 1 1 1217
"17_13" 2 3 2 937
"17_14" 4 2 2 958
"17_15" 0 3 1 1096
"17_16" 5 2 2 538
"17_17" 0 3 2 936
"17_18" 4 0 2 956
"17_19" 3 3 1 1079
"17_20" 0 0 1 857
"17_21" 3 4 2 976
"17_22" 5 6 2 1556
"17_23" 2 3 1 1288
"17_24" 0 3 1 918
"17_25" 2 0 2 877
"17_26" 5 2 2 916
"17_27" 3 0 2 919
"17_28" 2 5 2 1136
"17_29" 5 2 2 1494
"17_30" 0 2 2 937
"17_31" 5 2 1 1474
"17_32" 1 2 2 956
"17_33" 2 1 2 1435
"17_34" 2 2 1 1417
"17_35" 0 2 1 1935
"17_36" 2 2 1 1056
"17_37" 0 3 2 1327
"17_38" 2 2 2 778
"17_39" 3 1 2 1236
"17_40" 2 0 2 1235
"17_41" 3 2 2 1455
"17_42" 3 2 2 1136
"17_43" 3 0 2 1136
"17_44" 2 2 1 1218
"17_45" 6 2 2 957
"17_46" 0 0 2 1237
"17_47" 6 1 2 1376
"17_48" 2 4 2 853
"17_49" 1 2 1 717
"17_50" 2 4 2 822
"17_51" 1 2 1 1156
"17_52" 3 2 2 776
"17_53" 3 2 2 858
"17_54" 2 4 1 957
"17_55" 0 2 1 1075
"17_56" 2 3 1 839
"17_57" 0 2 2 1374
"17_58" 2 2 1 738
"17_59" 2 0 2 717
"17_60" 0 2 1 597
"17_61" 3 5 2 1356
"17_62" 0 0 2 956
"17_63" 3 2 2 1175
"17_64" 1 0 2 896
"17_65" 0 0 2 995
"17_66" 3 1 2 737
"17_67" 0 3 1 877
"17_68" 1 0 2 1076
"17_69" 2 0 1 1056
"17_70" 2 3 2 1016
"17_71" 0 5 1 598
"17_72" 0 3 1 954
"17_73" 3 0 2 1136
"17_74" 0 2 1 658
"17_75" 0 0 1 1076
"17_76" 3 2 2 599
"17_77" 2 5 1 1475
"17_78" 3 2 2 681
"17_79" 2 2 2 557
"17_80" 4 2 2 1256
"17_81" 3 5 1 1156
"17_82" 3 3 2 757
"17_83" 3 2 2 697
"17_84" 4 0 2 778
"17_85" 2 3 2 881
